Date,High,Low,Open,Close,Volume,Adj Close,close_sma_ratio,upper_bb,lower_bb,percent_b,norm_adj_close,norm_close_sma_ratio,norm_close_sma_ratio_state,percent_b_state,cash,cash_state,shares,shares_state,state
2017-05-23,86.06999969482422,84.51000213623047,84.75,85.76000213623047,11753000.0,77.56927490234375,1.01259,77.83942,75.37074,89.0571034862253,1.0066088419398505,1.0153415756700659,6,3,72346.41479492188,3,360,9,6339
2017-05-24,85.97000122070312,85.23999786376953,85.87999725341797,85.70999908447266,9833800.0,77.5240707397461,1.00857,78.23735,75.49382,74.00140475030669,1.0060222319732035,1.0113106518665582,5,2,73897.80029296875,3,340,9,5239
2017-05-25,86.08000183105469,85.08000183105469,85.98999786376953,85.3499984741211,12238500.0,77.19842529296875,1.00106,78.02362,76.21044,54.489090601526094,1.0017963630776103,1.0037802444624935,4,2,75448.28170776367,3,320,9,4239
2017-05-26,85.55999755859375,85.0199966430664,85.11000061035156,85.36000061035156,8113500.0,77.20746612548828,0.99981,77.98781,76.45609,49.05440455750931,1.0019136850709398,1.0025268477574225,3,2,75448.28170776367,3,320,9,3239
2017-05-30,85.1500015258789,83.77999877929688,85.12999725341797,83.9000015258789,12603200.0,75.88691711425781,0.98456,78.4521,75.70236,6.711802361598317,0.9847770505904316,0.9872354079555595,1,1,75448.28170776367,3,320,9,1139
2017-05-31,83.81999969482422,81.63999938964844,83.7300033569336,82.1500015258789,28327900.0,74.30404663085938,0.97226,79.10865,73.73972,10.510970172070978,0.9642362961971437,0.9749019843776635,0,1,76966.02005004883,3,300,9,0139
2017-06-01,83.08000183105469,81.6500015258789,82.45999908447266,83.05999755859375,17123500.0,75.12713623046875,0.98923,78.50016,73.38943,34.00113546340247,0.9749174488792928,0.9919180980457039,1,2,75479.93911743164,3,320,9,1239
2017-06-02,82.98999786376953,81.9800033569336,82.29000091552734,82.63999938964844,14998500.0,74.74723815917969,0.99063,77.73289,73.17623,34.47718634218234,0.9699875490178218,0.9933219023553831,2,2,73977.39639282227,3,340,9,2239
2017-06-05,83.51000213623047,82.58000183105469,82.63999938964844,82.79000091552734,9080200.0,74.8829345703125,0.99858,76.15764,73.82167,45.43142978345189,0.9717484679826796,1.001293505399633,3,2,73977.39639282227,3,340,9,3239
2017-06-06,83.22000122070312,82.12999725341797,82.29000091552734,82.95999908447266,12196800.0,75.03670501708984,1.0029,75.46518,74.17405,66.81395499212653,0.9737439319282943,1.0056252444123575,4,2,73977.39639282227,3,340,9,4239
2017-06-07,84.11000061035156,83.0999984741211,83.30999755859375,83.91000366210938,13711100.0,75.89595794677734,1.01009,76.03389,74.2421,92.30199670593902,0.984894372583761,1.0128347822599244,6,3,73977.39639282227,3,340,9,6339
2017-06-08,85.7300033569336,83.88999938964844,83.91000366210938,84.94999694824219,17951000.0,76.83662414550781,1.01797,77.24154,73.71825,88.50745029525848,0.9971013052146013,1.0207361950886904,7,3,75495.31555175781,3,320,9,7339
